"","normal_1","normal_2","normal_3","normal_4","normal_5","normal_6","HD_1","HD_2","HD_3","HD_4","HD_5","HD_6","HD_7","HD_8"
"AP5S1",96.311186065,105.074750997857,105.288278448571,120.693249342857,94.2523819664286,142.972566578571,138.009133607143,117.022379578571,112.014139047143,243.8786998,75.8479322407143,98.1729597964286,117.04337765,77.3021654414286
"CPNE7",40.0217440228571,59.1620090507143,69.7010516878571,23.80913339,59.5066306721429,89.3459846685714,83.4592026307143,120.188999642857,25.2318901621429,63.6756976735714,52.6788846414286,53.3272695985714,82.0576960992857,45.4052020321429
"NT5M",22.1589656621429,15.5348063878571,44.9720730842857,36.6580926864286,43.2568104321429,33.6898094392857,38.7881092085714,23.2389892285714,46.861246355,41.404521395,46.5970484442857,27.62794424,69.4336604742857,30.1455807735714
"FAM173A",55.227112745,47.9508343164286,16.1077336007143,13.63625718,10.8571855567143,41.8184212214286,14.314960635,48.3238628242857,34.8640217585714,56.3262239692857,21.3076859064286,33.7980612842857,62.690190285,34.7089958157143
"SH3TC2",20.9743679107143,29.1001795242857,12.1986030587857,46.625292725,32.2965964492857,45.0482315607143,33.7595261221429,4.83948759292857,16.0045443514286,30.512439605,18.5250460857143,43.4382615557143,39.0757945128571,20.0563432121429
"ZNF586",181.878347342857,207.437029464286,166.52529645,143.233874321429,153.189761621429,220.40655,97.1239382207143,175.852719421429,20.52181741,102.465766390714,190.598907871429,180.851135135714,169.33044325,177.74953915
"CACNA2D3",125.167755842857,90.6007312842857,89.9775528871429,161.829185578571,122.898486385714,52.0210938871429,12.5085727717143,61.8839833871429,53.6816678164286,14.4877758385714,126.456865121429,133.566783971429,137.825568085714,118.716214785714
"TDP1",184.243372392857,222.863607085714,137.605839978571,184.757553207143,148.718172192857,148.718172192857,124.603465257143,159.626953964286,134.366008878571,78.3024227457143,139.332961,158.998743571429,144.99882555,135.7705741
"APOL6",124.978400578571,125.226386335714,130.354381257143,86.2712947278571,55.5151819778571,136.883823757143,31.0385281435714,34.9558855935714,161.200375742857,233.033559607143,40.6167628135714,105.887568227143,35.8166439814286,59.0097729107143
"DCAF16",76.6908071057143,83.9977534457143,68.563850415,51.7347685428571,77.4571454335714,84.60639804,126.8655604,180.716811585714,155.162359821429,135.7705741,79.4951683942857,85.4123209621429,82.7940513278571,58.604101285
"FGGY",49.3799787478571,36.0658219835714,18.3070624535714,19.8397013414286,35.3908125778571,88.6543793521429,35.7215480128571,3.68669849907143,30.4562486571429,51.6348287928571,65.8856539057143,37.6841209207143,56.9931742071429,44.5088797935714
"HIGD1B",13.6451462732857,10.6254248105714,17.1092423207143,13.6293274890714,5.58100048357143,14.8493710571429,4.40972133985714,5.63851394985714,35.8801647642857,9.19702691028571,12.5085727717143,14.2549824507143,13.8147315592143,6.35408160814286
"GPATCH2L",46.7345308671429,13.5648777695714,18.66183366,14.8358021114286,67.2015669435714,19.9724313957143,18.8137913678571,22.3787846571429,23.5691029907143,9.17920878121429,62.7689575114286,14.1681375,44.9450686671429,58.0766368807143
"GDPD3",139.194585378571,155.559996121429,224.678307764286,133.704315164286,125.250367878571,196.985408792857,201.407889878571,185.097122942857,109.910355459286,117.91619455,179.561715285714,165.714238307143,120.921429542857,104.268560874286
"AGPAT3",12.1842296787857,48.4227569971429,85.3766796092857,47.1924542842857,76.0625248321429,58.0241490735714,15.0188848742857,23.8734471307143,17.5281002707143,12.4426162227143,36.5296924914286,10.8354393037857,73.3014811492857,28.8759948742857
"TESPA1",44.2506202871429,67.8299108842857,112.769305048571,63.5752208571429,42.9350476542857,73.8485710321429,101.304079568571,125.191924428571,56.9931742071429,69.1517471171429,43.663327635,37.2646296807143,62.9915669292857,54.1862255807143
